name,parent,type,owners,id
Apex Global Corporation,,ORGANIZATION,CK0001,00000000-0000-0000-0000-0000000003e9
North America Division,Apex Global Corporation,AREA,CK0002,00000000-0000-0000-0000-0000000003ea
EMEA Division,Apex Global Corporation,AREA,CK0003,00000000-0000-0000-0000-0000000003eb
APAC Division,Apex Global Corporation,AREA,CK0004,00000000-0000-0000-0000-0000000003ec
LATAM Division,Apex Global Corporation,AREA,CK0005,00000000-0000-0000-0000-0000000003ed
Global Engineering,Apex Global Corporation,AREA,CK0006,00000000-0000-0000-0000-0000000003ee
Product Innovation,Apex Global Corporation,AREA,CK0007,00000000-0000-0000-0000-0000000003ef
Financial Services,Apex Global Corporation,AREA,CK0008,00000000-0000-0000-0000-0000000003f0
People and Culture,Apex Global Corporation,AREA,CK0009,00000000-0000-0000-0000-0000000003f1
Legal and Risk,Apex Global Corporation,AREA,CK0010,00000000-0000-0000-0000-0000000003f2
North America Division Branch 1,North America Division,AREA,CK0011,00000000-0000-0000-0000-0000000003f3
North America Division Branch 2,North America Division,AREA,CK0012,00000000-0000-0000-0000-0000000003f4
North America Division Branch 3,North America Division,AREA,CK0013,00000000-0000-0000-0000-0000000003f5
North America Division Branch 4,North America Division,AREA,CK0014,00000000-0000-0000-0000-0000000003f6
EMEA Division Branch 1,EMEA Division,AREA,CK0015,00000000-0000-0000-0000-0000000003f7
EMEA Division Branch 2,EMEA Division,AREA,CK0016,00000000-0000-0000-0000-0000000003f8
EMEA Division Branch 3,EMEA Division,AREA,CK0017,00000000-0000-0000-0000-0000000003f9
EMEA Division Branch 4,EMEA Division,AREA,CK0018,00000000-0000-0000-0000-0000000003fa
APAC Division Branch 1,APAC Division,AREA,CK0019,00000000-0000-0000-0000-0000000003fb
APAC Division Branch 2,APAC Division,AREA,CK0020,00000000-0000-0000-0000-0000000003fc
APAC Division Branch 3,APAC Division,AREA,CK0021,00000000-0000-0000-0000-0000000003fd
APAC Division Branch 4,APAC Division,AREA,CK0022,00000000-0000-0000-0000-0000000003fe
LATAM Division Branch 1,LATAM Division,AREA,CK0023,00000000-0000-0000-0000-0000000003ff
LATAM Division Branch 2,LATAM Division,AREA,CK0024,00000000-0000-0000-0000-000000000400
